pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_jja20
2020|06|017483|001|0001|11|04||4|18061105|3|1|2||1|15|5|4||4|4|14|6|2020|20|6|2020|4|7|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|404.546869138904
2020|06|017483|001|0001|11|05||4|18061106|3|1|2||2|14|5|2||5|5|14|6|2020|20|6|2020|4|6|2006|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0001|11|06||4|18061107|3|1|2||1|11|3||3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0001|11|07||4|20061107|3|2||1|1|20|6|5||7|7|14|6|2020|20|6|2020|30|10|1999|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|404.546869138904
2020|06|017483|001|0001|11|08||4|20061108|4|2||1|2|21|6|5||8|8|14|6|2020|20|6|2020|12|12|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|1|6|0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0001|11|09||4|20061109|10|2||1|2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0002|11|01||4|18061101|1|1|2||1|48|6|5||1|1|14|6|2020|20|6|2020|26|5|1972|2|1|||||||||||||749|1394|4|5|1|50|||2002|0|0|0|0|0|0|0|0|2|48|1|2|4|930|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|234.120717840747
2020|06|017483|001|0002|11|02||4|18061102|2|1|2||2|37|6|5||2|2|14|6|2020|20|6|2020|11|1|1983|1||||||||||||||523|5610|3|5|1|5|||2005|9|9|9|9|9|0|9|54|1||1|2|1|60|9|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1500|225|||||1725|1725|1|397.762184898873
2020|06|017483|001|0002|11|03||4|18061103|3|1|2||2|15|5|3||3|3|14|6|2020|20|6|2020|11|9|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|5|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0002|11|04||4|18061104|3|1|2||1|9|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0003|11|01||4|18061101|1|1|2||1|56|5|3||1|1|14|6|2020|20|6|2020|5|7|1963|1||||||||||||||983|4100|4|5|1|2|8|6|2020|0|4|0|4|0|0|4|12|2|40|2|2|2|90|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|390|0|||||390|390|1|234.120717840747
2020|06|017483|001|0003|11|02||4|18061102|2|1|2||2|45|6|5||2|2|14|6|2020|20|6|2020|16|9|1974|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|235.103993546464
2020|06|017483|001|0003|11|03||4|18061103|3|1|2||2|22|7|2||3|3|14|6|2020|20|6|2020|2|1|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0003|11|04||4|18061104|3|1|2||2|16|5|4||4|4|14|6|2020|20|6|2020|22|6|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0003|11|05||4|18061105|3|1|2||2|8|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0004|11|01||4|18061101|1|1|2||1|44|5|4||1|1|14|6|2020|20|6|2020|15|2|1976|1||||||||||||||885|4922|2||1|1|||2014|0|10|10|10|10|10|10|60|1||1|2||||2078|0|||1|||||||||6|0|0|0|0|0|0|1|6|4|1|||2078|0|||2078|2078|1|432.904646017839
2020|06|017483|001|0004|11|02||4|18061102|2|1|2||2|44|5|4||2|2|14|6|2020|20|6|2020|4|8|1975|1||||||||||||||522|5610|4|5|1|7|||2014|8|8|8|8|0|8|8|48|1||1|2|2|200|54|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|866|234|||||1100|1100|1|397.762184898873
2020|06|017483|001|0004|11|03||4|18061103|3|1|2||1|21|7|1||3|3|14|6|2020|20|6|2020|29|6|1998|2|1|||||||||||||942|5629|4|4|2|||3|2019|0|0|0|0|0|0|0|0|2|48|2|2|4|0|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|0|0|||||0|0|1|404.546869138904
2020|06|017483|001|0004|11|04||4|18061104|3|1|2||2|16|5|4||4|4|7|6|2020|13|6|2020|10|6|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0004|11|05||4|18061105|3|1|2||1|7|3||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|002|0024|11|01||4|20061101|1|1|1||1|69|6|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2020|06|017483|002|0024|11|02||4|20061102|2|1|2||2|68|4|5||2|2|24|5|2020|30|5|2020|26|1|1952|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|1|1|4|||||||||1|235.103993546464
2020|06|017483|002|0024|11|03||4|20061103|3|1|2||1|39|6|5||3|3|24|5|2020|30|5|2020|4|4|1981|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|5|0|0|0|0|0|0|1|1|4|4|||||||||1|432.904646017839
2020|06|017483|002|0024|11|04||4|20061104|3|1|2||1|26|6|5||4|3|31|5|2020|6|6|2020|28|1|1994|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|4|1|5|0|0|0|0|0|0|1|6|4|2|||||||||1|432.904646017839
2020|06|017483|002|0026|11|01||4|20061101|1|1|2||2|43|6|5||1|1|31|5|2020|6|6|2020|30|7|1976|1||||||||||||||945|8411|4|2|2||||2018|0|8|8|8|8|8|8|48|1||2|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|1|1|1|930|0|||||930|930|1|397.762184898873
2020|06|017483|002|0026|11|02||4|20061102|3|1|2||2|20|6|5||2|2|31|5|2020|6|6|2020|6|9|1999|1||||||||||||||574|4781|3|5|1|4|||2016|0|0|8|0|0|0|0|8|2|48|1|2|2|30|8|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|130|35|||||165|165|1|414.27745937236
2020|06|017483|002|0026|11|03||4|20061103|3|1|2||1|19|5|2||3|3|31|5|2020|6|6|2020|29|4|2001|1||||||||||||||945|8411|4|2|2||15|3|2020|0|8|8|8|8|8|8|48|1||2|2|4|950|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|950|0|||||950|950|1|404.546869138904
2020|06|017483|002|0026|11|04||4|20061104|3|1|2||2|12|3||5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|002|0029|11|01||4|20061101|1|1|2||1|59|6|5||1|1|31|5|2020|6|6|2020|3|3|1961|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|234.120717840747
2020|06|017483|002|0029|11|02||4|20061102|2|1|2||2|60|6|5||2|2|31|5|2020|6|6|2020|10|9|1959|2|1|||||||||||||952|8510|3|2|2||||1995|0|0|0|0|0|0|0|0|2|40|1|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|235.103993546464
2020|06|017483|002|0029|11|03||4|20061103|3|1|2||1|29|6|5||3|2|31|5|2020|6|6|2020|14|3|1991|1||||||||||||||885|4922|2||1|1|||2018|0|8|0|8|0|8|0|24|1||2|2||||390|0|||1|||||||||6|0|0|0|0|0|0|1|6|4|1|||390|0|||390|390|1|432.904646017839
2020|06|017483|002|0029|11|04||4|20061104|3|1|2||1|23|9|3||4|4|31|5|2020|6|6|2020|27|12|1996|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|404.546869138904
2020|06|017483|002|0032|11|01||4|20061101|1|1|2||1|78|4|5||1|1|24|5|2020|30|5|2020|15|4|1942|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|1|1|4|||||||||1|234.120717840747
2020|06|017483|002|0032|11|02||4|20061102|3|1|2||2|44|3||2|2|1|31|5|2020|6|6|2020|31|12|1975|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|7|2|||0||2|6|0|0|1|0|1|1|0|6|4|4|||||||||1|397.762184898873
2020|06|017483|002|0032|11|03||4|20061103|10|1|2||2|17|1|||3|1|31|5|2020|6|6|2020|17|11|2002|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|7|2|||0||2|6|0|0|0|0|0|1|0|6|4|4|||||||||1|414.27745937236
2020|06|017483|002|0032|11|04||4|20061104|10|1|2||2|7|2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|002|0032|11|05||4|20061105|10|1|2||1|25|5|3||5|5|31|5|2020|6|6|2020|7|5|1995|1||||||||||||||541|9602|2||1|1|15|2|2020|0|0|0|0|0|2|0|2|1||1|2||||60|0|||1|||||||||5|0|0|0|0|0|0|1|6|4|1|||60|0|||60|60|1|432.904646017839
2020|06|017486|004|0099|11|01||1|19061101|1|1|2||1|62|6|5||1|1|31|5|2020|6|6|2020|3|8|1957|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|4|1|5|0|0|0|0|0|0|1|6|4|2|||||||||1|188.554365674916
2020|06|017486|004|0099|11|02||1|19061102|11|1|2||1|55|10|5||2|0|31|5|2020|6|6|2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|||||||||1|0
2020|06|017486|004|0099|11|03||1|19061103|11|1|2||2|59|8|3||3|4|31|5|2020|6|6|2020|18|11|1960|2|1|||||||||||||413|8411|3|2|2||||2000|0|0|0|0|0|0|0|0|2|48|2|2|4|2000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|2000|0|||||2000|2000|1|189.346268795174
2020|06|017486|004|0099|11|04||1|19061104|6|1|2||1|31|10|5||4|4|31|5|2020|6|6|2020|27|5|1989|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|4|1|2|0|0|0|0|0|0|1|6|4|2|||||||||1|348.649456060277
2020|06|017486|004|0100|11|01||1|19061101|1|1|2||1|87|5|4||1|1|31|5|2020|6|6|2020|14|4|1933|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|9|2|||0||1|6|1|0|0|0|0|0|0|6|4|4|||||||||1|188.554365674916
2020|06|017486|004|0100|11|02||1|19061102|3|1|2||2|53|6|5||2|2|31|5|2020|6|6|2020|17|8|1966|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|1|0|0|0|0|0|0|1|6|4|4|||||||||1|189.346268795174
2020|06|017486|004|0100|11|03||1|19061104|10|1|2||1|20|7|2||3|3|31|5|2020|6|6|2020|27|4|2000|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|4|1|5|0|0|0|0|0|0|1|6|4|2|||||||||1|325.810885084275
2020|06|017486|004|0100|11|04||1|19061105|10|1|2||2|28|6|5||4|4|31|5|2020|6|6|2020|22|12|1991|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|4|1|1|0|0|0|0|0|0|1|6|4|2|||||||||1|320.346687618189
2020|06|017486|004|0100|11|05||1|19061106|6|1|2||1|8|3||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017486|004|0101|11|01||1|19061101|1|1|2||2|51|8|3||1|1|24|5|2020|30|5|2020|11|8|1968|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|1|1|6|0|0|0|0|0|0|1|6|4|2|||||||||1|189.346268795174
2020|06|017486|004|0101|11|02||1|19061102|3|1|1||1|30|6|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2020|06|017486|004|0101|11|03||1|19061103|3|1|2||2|29|9|4||3|3|24|5|2020|30|5|2020|4|12|1990|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|320.346687618189
2020|06|017490|001|0016|11|01||5|19061101|1|1|2||1|56|9|2||1|2|31|5|2020|6|6|2020|24|9|1963|1||||||||||||||785|4390|4|5|2||||2017|0|8|8|8|8|8|8|48|1||2|2|2|500|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|2165|0|||||2165|2165|1|635.988779357556
2020|06|017490|001|0016|11|02||5|19061102|2|1|2||2|51|8|3||2|2|31|5|2020|6|6|2020|15|8|1968|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|1|0|0|0|0|0|0|1|6|4|4|||||||||1|638.659847179399
2020|06|017490|001|0016|11|03||5|19061103|3|1|2||1|25|7|1||3|2|31|5|2020|6|6|2020|18|2|1995|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||3|2|1|5|0|0|0|0|0|0|1|6|4|2|||||||||1|1175.98519233304
2020|06|017490|001|0016|11|04||5|19061104|3|1|2||2|20|9|1||4|4|31|5|2020|6|6|2020|99|99|2000|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|1125.38445179721
2020|06|017529|004|0090|11|01||5|19061101|1|1|2||2|48|6|5||1|1|7|6|2020|13|6|2020|7|6|1972|1||||||||||||||912|5610|2||1|2|||2010|0|9|9|9|9|9|9|54|1||1|2||||1039|156|||1|||||||||6|0|0|0|0|0|0|1|1|1|1|||1039|156|||1195|1195|1|301.024386568634
2020|06|017529|004|0090|11|02||5|19061102|3|1|1||1|18|5|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2020|06|017529|004|0090|11|03||5|19061103|11|1|2||1|40|6|5||3|3|7|6|2020|13|6|2020|18|11|1979|1||||||||||||||952|9499|3|5|1|4|||2017|0|9|9|9|9|9|9|54|1||2|2|4|930|0|||||1|||||||||6|0|0|0|0|0|0|1|1|1|1|930|0|||||930|930|1|554.286014220669
2020|06|017529|004|0093|11|01||5|19061101|1|1|2||2|87|3|3||1|2|7|6|2020|13|6|2020|15|3|1933|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|9|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|301.024386568634
2020|06|017529|004|0093|11|02||5|19061102|3|1|2||1|43|8|3||2|2|7|6|2020|13|6|2020|8|12|1976|1||||||||||||||321|9511|2||1|1|||2018|0|0|0|4|0|4|0|8|2|30|1|2||||350|0|||1|||||||||6|0|0|0|0|0|0|1|6|4|1|||350|0|||350|350|1|554.286014220669
2020|06|017540|004|0092|11|01||4|19061101|1|1|2||1|64|4|5||1|3|14|6|2020|20|6|2020|4|10|1955|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|9|1|2||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|219.417484353164
2020|06|017540|004|0092|11|02||4|19061102|2|1|2||2|58|3|4||2|3|14|6|2020|20|6|2020|5|6|1962|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|220.339008444512
2020|06|017540|004|0092|11|03||4|19061103|3|1|2||2|29|6|5||3|3|14|6|2020|20|6|2020|24|3|1991|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|1|0|0|0|0|0|0|1|6|4|4|||||||||1|372.781951064644
2020|06|017540|004|0092|11|04||4|20061104|4|1|2||1|31|8|3||4|4|14|6|2020|20|6|2020|28|6|1988|1||||||||||||||391|7310|3|5|1|5|6|6|2020|0|10|10|10|10|10|6|56|1||1|1|4|1600|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1600|0|||||1600|1600|1|405.717397717202
2020|06|017540|004|0092|11|05||4|20061105|10|1|2||2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017540|004|0094|11|01||4|19061101|1|1|2||1|51|8|3||1|1|14|6|2020|20|6|2020|24|2|1969|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||3|3|1|6|0|0|0|0|0|0|1|1|4|2|||||||||1|219.417484353164
2020|06|017540|004|0094|11|02||4|19061102|2|1|2||2|43|4||6|2|2|14|6|2020|20|6|2020|5|4|1977|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||3|3|1|6|0|0|0|0|0|0|1|6|4|2|||||||||1|372.781951064644
2020|06|017540|004|0094|11|03||4|19061103|3|1|2||2|19|6|5||3|3|14|6|2020|20|6|2020|29|6|2000|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|388.260034387623
2020|06|017540|004|0094|11|04||4|19061104|3|1|2||1|15|4||6|4|2|14|6|2020|20|6|2020|16|2|2005|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|7|2|||0||2|6|0|0|1|0|0|1|0|6|4|4|||||||||1|379.140544023901
2020|06|017540|004|0096|11|01||4|19061101|1|1|2||1|37|1|||1|1|14|6|2020|20|6|2020|22|9|1982|1||||||||||||||983|4100|4|5|1|2|19|6|2020|0|0|0|0|0|10|0|10|2|48|1|1|2|50|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|217|0|||||217|217|1|405.717397717202
